Voltage	Acceleration	Displacement	Power
0.0003813	0.008818	-0.03037	1.685E-8
0.000523	0.008974	-0.02995	1.591E-8
0.0004634	0.009397	-0.02995	1.825E-8
0.0005827	0.009481	-0.02959	1.782E-8
0.0005081	0.00977	-0.02968	3.729E-8
0.000784	0.01003	-0.03	1.473E-8
0.0006498	0.009985	-0.02964	2.14E-7
0.0005901	0.01004	-0.02953	1.41E-8
0.0003291	0.009944	-0.02928	1.644E-8
0.0006349	0.009979	-0.02917	1.897E-8
0.0006349	0.009927	-0.0295	2.045E-8
0.0004857	0.009822	-0.02961	2.246E-8
0.0005827	0.009772	-0.02881	2.277E-8
0.0005827	0.009688	-0.02894	2.887E-8
0.0006721	0.009743	-0.02894	3.313E-8
0.000344	0.009609	-0.02863	2.941E-8
0.0002098	0.009554	-0.0287	2.341E-8
0.0004186	0.009282	-0.02866	3.568E-8
0.0006349	0.008794	-0.02886	1.671E-8
0.0004857	0.008693	-0.02829	2.423E-8
0.0005827	0.008513	-0.02865	2.23E-8
0.0005901	0.008502	-0.02798	2.358E-8
0.0005603	0.008232	-0.02832	1.193E-8
0.0006498	0.008337	-0.02839	2.959E-8
0.000784	0.008504	-0.02816	2.506E-8
-6.609E-5	0.008482	-0.02815	3.275E-8
0.0005454	0.007937	-0.02839	1.754E-8
0.0004559	0.007858	-0.02816	1.016E-8
0.0005678	0.007682	-0.02751	1.07E-8
0.0005006	0.00741	-0.02768	1.941E-8
0.0003217	0.007451	-0.02778	1.385E-8
0.000359	0.007485	-0.02786	1.125E-8
0.0001874	0.007193	-0.02765	2.183E-8
0.0004261	0.007093	-0.02775	1.17E-8
0.0005081	0.006717	-0.02704	1.275E-8
-1.389E-5	0.006609	-0.02731	2.045E-8
0.0004634	0.006236	-0.02723	8.727E-9
0.000344	0.00594	-0.02704	8.241E-9
0.0003142	0.005833	-0.02662	9.845E-9
0.0006498	0.005431	-0.02706	9.025E-9
0.0007989	0.005582	-0.0269	1.499E-8
0.0003888	0.005417	-0.02644	6.608E-9
0.0004559	0.005443	-0.02654	1.486E-8
0.0005081	0.005424	-0.02674	1.205E-8
0.0004112	0.005182	-0.02649	3.312E-9
0.0002471	0.004843	-0.02637	6.103E-9
0.0002471	0.004713	-0.02635	8.051E-9
0.0003739	0.004927	-0.02635	6.353E-9
-7.355E-5	0.005136	-0.02592	8.629E-9
0.0004708	0.00515	-0.0268	8.925E-9
0.000262	0.005523	-0.02577	8.629E-9
0.00062	0.005999	-0.02616	5.619E-9
0.0004634	0.006118	-0.02612	2.111E-9
0.0006871	0.006324	-0.02566	3.312E-9
0.0003813	0.006288	-0.02611	3.435E-9
0.0001129	0.006716	-0.02575	3.016E-9
0.0005156	0.006931	-0.02587	1.368E-9
0.0005827	0.00734	-0.02584	5.619E-9
0.000523	0.007711	-0.02584	6.988E-10
0.0003515	0.00796	-0.02557	1.447E-9
0.0004335	0.008176	-0.02561	2.678E-9
4.576E-5	0.008318	-0.02567	2.87E-10
0.0003142	0.00855	-0.02525	1.969E-9
0.0007243	0.008506	-0.02566	1.834E-11
0.0002247	0.008818	-0.02528	6.988E-10
0.0003217	0.008967	-0.02497	5.778E-9
0.0004634	0.009242	-0.02496	2.412E-9
